time, concentration
3600.1, 2.8379234174954067e-07
7200.1, -1.431482069924432e-07
10800.1, -0.0002854382084070046
14400.1, -0.004435343350301522
18000.1, 3.314081076752004e-05
21600.1, 0.000908445789140845
25200.1, 0.0005067585936782745
28800.1, 2.2572797819390847e-05
32400.1, -1.6148863493962865e-05
36000.1, 0.0010046478654689647
39600.1, 0.008188780691291453
43200.1, 0.014672582039923027
46800.1, 0.012119968153011085
50400.1, -0.0004187577766834446
54000.1, 0.001230549501457194
57600.1, -0.00037243217940871576
