ob_end_time,horizontal_wind_speed,vertical_wind_speed,station_x,station_y
2005-10-30 06:00:00,-1.0080195167048977e-15,4.115552,520039.49137492164,279682.73502229666
2005-10-30 07:00:00,-1.1340219562930098e-15,4.629996,520039.49137492164,279682.73502229666
2005-10-30 08:00:00,-0.8039903680051771,4.5596559572155115,520039.49137492164,279682.73502229666
2005-10-30 09:00:00,-0.8933226311168634,5.0662843969061235,520039.49137492164,279682.73502229666
2005-10-30 10:00:00,-1.260024395881122e-15,5.14444,520039.49137492164,279682.73502229666
2005-10-30 11:00:00,-1.3860268354692345e-15,5.6588840000000005,520039.49137492164,279682.73502229666
2005-10-30 12:00:00,0.9826548942285472,5.572912836596736,520039.49137492164,279682.73502229666
2005-10-30 13:00:00,2.11140252735636,5.8010307672910315,520039.49137492164,279682.73502229666
2005-10-30 14:00:00,3.343886,5.7917804467182625,520039.49137492164,279682.73502229666
2005-10-30 15:00:00,1.9354523167433304,5.317611536683446,520039.49137492164,279682.73502229666
2005-10-30 16:00:00,3.086664,5.34625887389378,520039.49137492164,279682.73502229666
2005-10-30 17:00:00,3.086664,5.34625887389378,520039.49137492164,279682.73502229666
2005-10-30 18:00:00,1.9354523167433304,5.317611536683446,520039.49137492164,279682.73502229666
2005-10-30 19:00:00,1.9354523167433304,5.317611536683446,520039.49137492164,279682.73502229666
2005-10-30 20:00:00,1.7595021061303002,4.8341923060758605,520039.49137492164,279682.73502229666
2005-10-30 21:00:00,1.58355189551727,4.3507730754682745,520039.49137492164,279682.73502229666
2005-10-30 22:00:00,1.7595021061303002,4.8341923060758605,520039.49137492164,279682.73502229666
2005-10-30 23:00:00,2.57222,4.455215728244817,520039.49137492164,279682.73502229666
2005-10-31 00:00:00,1.40760168490424,3.867353844860688,520039.49137492164,279682.73502229666
2005-10-31 01:00:00,1.05570126367818,2.900515383645516,520039.49137492164,279682.73502229666
2005-10-31 02:00:00,0.4466613155584304,2.533142198453062,520039.49137492164,279682.73502229666
2005-10-31 03:00:00,0.4466613155584304,2.533142198453062,520039.49137492164,279682.73502229666
2005-10-31 04:00:00,-0.5278506318390908,1.4502576918227577,520039.49137492164,279682.73502229666
2005-10-31 05:00:00,-0.5278506318390908,1.4502576918227577,520039.49137492164,279682.73502229666
2005-10-31 06:00:00,-3.7800731876433655e-16,1.543332,520039.49137492164,279682.73502229666
2005-10-30 06:00:00,-0.9826548942285498,5.572912836596736,503829.29576933815,302682.0283563873
2005-10-30 07:00:00,-1.339983946675295,7.599426595359185,503829.29576933815,302682.0283563873
2005-10-30 08:00:00,-1.339983946675295,7.599426595359185,503829.29576933815,302682.0283563873
2005-10-30 09:00:00,-1.5186484728986676,8.61268347474041,503829.29576933815,302682.0283563873
2005-10-30 10:00:00,-1.6079807360103542,9.119311914431025,503829.29576933815,302682.0283563873
2005-10-30 11:00:00,-2.142041472997907e-15,8.745548,503829.29576933815,302682.0283563873
2005-10-30 12:00:00,-1.4293162097869814,8.106055035049797,503829.29576933815,302682.0283563873
2005-10-30 13:00:00,-2.0160390334097953e-15,8.231104,503829.29576933815,302682.0283563873
2005-10-30 14:00:00,1.6079807360103495,9.119311914431025,503829.29576933815,302682.0283563873
2005-10-30 15:00:00,1.4293162097869776,8.106055035049799,503829.29576933815,302682.0283563873
2005-10-30 16:00:00,2.6392531591954502,7.25128845911379,503829.29576933815,302682.0283563873
2005-10-30 17:00:00,2.46330294858242,6.767869228506203,503829.29576933815,302682.0283563873
2005-10-30 18:00:00,1.1613194204519193,6.586169715977961,503829.29576933815,302682.0283563873
2005-10-30 19:00:00,2.28735273796939,6.2844499978986175,503829.29576933815,302682.0283563873
2005-10-30 20:00:00,2.6392531591954502,7.25128845911379,503829.29576933815,302682.0283563873
2005-10-30 21:00:00,2.28735273796939,6.2844499978986175,503829.29576933815,302682.0283563873
2005-10-30 22:00:00,3.343886,5.7917804467182625,503829.29576933815,302682.0283563873
2005-10-30 23:00:00,2.829442,4.9007373010693,503829.29576933815,302682.0283563873
2005-10-31 00:00:00,1.9354523167433304,5.317611536683446,503829.29576933815,302682.0283563873
2005-10-31 01:00:00,2.46330294858242,6.767869228506203,503829.29576933815,302682.0283563873
2005-10-31 02:00:00,1.7595021061303002,4.8341923060758605,503829.29576933815,302682.0283563873
2005-10-31 03:00:00,-7.560146375286731e-16,3.086664,503829.29576933815,302682.0283563873
2005-10-31 05:00:00,-0.703800842452121,1.9336769224303436,503829.29576933815,302682.0283563873
2005-10-31 06:00:00,-5.040097583524488e-16,2.057776,503829.29576933815,302682.0283563873
2005-10-30 06:00:00,-5.278506318390908,14.502576918227575,76309.50637277658,842552.7461586673
2005-10-30 07:00:00,-2.67996789335059,15.19885319071837,76309.50637277658,842552.7461586673
2005-10-30 08:00:00,-2.67996789335059,15.19885319071837,76309.50637277658,842552.7461586673
2005-10-30 09:00:00,-2.5013033671272176,14.185596311337145,76309.50637277658,842552.7461586673
2005-10-30 10:00:00,-2.3226388409038448,13.17233943195592,76309.50637277658,842552.7461586673
2005-10-30 11:00:00,-2.3226388409038448,13.17233943195592,76309.50637277658,842552.7461586673
2005-10-30 12:00:00,-3.150060989702805e-15,12.8611,76309.50637277658,842552.7461586673
2005-10-30 13:00:00,-2.8980561105265803e-15,11.832212,76309.50637277658,842552.7461586673
2005-10-30 14:00:00,-3.0240585501146924e-15,12.346656,76309.50637277658,842552.7461586673
2005-10-30 15:00:00,-3.150060989702805e-15,12.8611,76309.50637277658,842552.7461586673
2005-10-30 16:00:00,-3.40206586887903e-15,13.889988,76309.50637277658,842552.7461586673
